State,Year,Crime,Crime_Description,City,Evidence_Details,Police_Department,Case_Status,Convictions,Acquittals
Himachal Pradesh,1982,Robbery,Mugging in a dark alley,Chamba,Witness statements,Bureau of Investigation,Under Investigation,Partially convicted,No
Kerala,2020,Organized Crime,"Illegal gambling ring busted, dismantling criminal enterprise",Thrissur,Photographic evidence,Traffic Enforcement Unit,Closed,Convicted,No
Haryana,2021,Armed Robbery,Gas station attendant threatened with a knife during a robbery,Faridabad,Expert witness testimony,Special Investigations Unit,Closed,Partially convicted,No
Assam,2007,Public Corruption,Elected official arrested for accepting bribes in exchange for political favors,Sibsagar,"Physical evidence (e.g., fingerprints, DNA)",Cyber Crimes Unit,Under Investigation,Convicted,Yes
Mizoram,1993,Terrorist Attack,"Suicide bombing targets crowded marketplace, resulting in mass casualties",Lunglei,Vehicle registration records,Metropolitan Police Department,Under Investigation,Not convicted,Yes
Tripura,2023,Homicide,Gang-related shooting in a city street,Agartala,Witness statements,SWAT Team,Under Investigation,Partially convicted,No
Nagaland,1974,Hate Crime,Racist hate group targets minority community with threats and intimidation,Peren,Audio recordings,Victim Services Division,Closed,Partially convicted,Yes
Arunachal Pradesh,1986,Cybercrime,Identity theft through phishing emails,Naharlagun,Confession statements,Narcotics Division,Under Investigation,Convicted,Yes
Haryana,1990,White-Collar Crime,Corporate espionage by rival companies,Sonipat,Vehicle registration records,City Police Department,Closed,Convicted,Yes
Uttarakhand,2021,Embezzlement,Corporate embezzlement scheme,Haldwani,Expert witness testimony,Forensic Science Division,Closed,Not convicted,No
Rajasthan,2015,Homicide,Domestic murder-suicide,Pali,Video surveillance footage,Special Operations Division,Open,Convicted,No
Rajasthan,1980,Domestic Violence,Child abuse within a family,Bhilwara,Forensic analysis reports,K-9 Unit,Closed,Convicted,Yes
Punjab,1974,Public Intoxication,Public urination in a city park,Patiala,Property ownership documents,Special Operations Division,Closed,Convicted,Yes
Uttar Pradesh,2004,Vandalism,Smashing car windows in a parking lot,Aligarh,"Digital evidence (e.g., emails, text messages)",Narcotics Division,Closed,Partially convicted,No
Maharashtra,1972,Public Corruption,Corrupt city official siphons public funds for personal use,Solapur,Phone records,Metropolitan Police Department,Under Investigation,Convicted,Yes
Kerala,1983,Burglary,Shoplifting at a local store,Thiruvananthapuram,Medical reports,Major Crimes Unit,Under Investigation,Not convicted,No
Meghalaya,2014,Burglary,Shoplifting at a local store,Baghmara,Vehicle registration records,Highway Patrol,Closed,Not convicted,Yes
Kerala,1977,Fraud,Credit card fraud,Kollam,Witness statements,Major Crimes Unit,Open,Not convicted,No
Kerala,1977,Forgery,Forgery of legal documents for identity theft,Thrissur,Video surveillance footage,Bureau of Investigation,Under Investigation,Not convicted,No
Haryana,2002,Kidnapping,Child abduction from a playground,Rohtak,Property ownership documents,City Police Department,Open,Not convicted,No
Bihar,1975,Terrorist Attack,"Terrorist plot foiled by intelligence agencies, preventing major catastrophe",Begusarai,"Physical evidence (e.g., fingerprints, DNA)",Criminal Investigation Division,Under Investigation,Not convicted,No
Kerala,1982,Terrorism,Bombing at a crowded public event,Kottayam,Eyewitness accounts,Narcotics Division,Closed,Partially convicted,No
Punjab,1973,Terrorism,Chemical attack in a subway station,Abohar,Financial transactions,Homicide Unit,Closed,Convicted,Yes
Karnataka,1976,Homicide,Domestic murder-suicide,Bellary,Character witness testimonies,Victim Services Division,Open,Convicted,Yes
Kerala,2008,Domestic Violence,Stalking by an ex-partner,Kozhikode,Eyewitness accounts,Forensic Science Division,Closed,Not convicted,Yes
Assam,1979,Burglary,Shoplifting at a local store,Tezpur,Vehicle registration records,State Police Department,Under Investigation,Not convicted,Yes
Kerala,1999,Public Corruption,Government contractor charged with fraud in connection with public projects,Palakkad,Audio recordings,State Police Department,Under Investigation,Partially convicted,Yes
Haryana,1992,Domestic Violence,Spousal abuse in a domestic setting,Gurgaon,Photographic evidence,Criminal Investigation Division,Closed,Not convicted,Yes
Gujarat,2008,Public Intoxication,Public urination in a city park,Bharuch,Witness statements,Highway Patrol,Under Investigation,Not convicted,No
Karnataka,2006,Money Laundering,International wire transfers facilitate movement of dirty money across borders,Hubli,Confession statements,State Police Department,Under Investigation,Partially convicted,No
Tamil Nadu,1972,Cybercrime,Social media account hacking,Vellore,Financial transactions,City Police Department,Open,Not convicted,No
Himachal Pradesh,2021,Forgery,Check forgery at a bank,Nahan,Bank statements,Bureau of Investigation,Open,Convicted,No
Goa,1975,Vandalism,Graffiti on public property,Vasco da Gama,Confession statements,Special Operations Division,Open,Partially convicted,No
Assam,1981,Car Theft,"Vehicle theft ring dismantled by police, recovering multiple stolen cars",Silchar,Crime scene photographs,Special Investigations Unit,Under Investigation,Convicted,Yes
Telangana,2017,Robbery,Bank robbery with hostages,Mancherial,Bank statements,Special Operations Division,Under Investigation,Partially convicted,No
Jharkhand,1994,Child Abduction,Amber Alert issued for missing child,Bokaro Steel City,Video surveillance footage,Community Policing Unit,Under Investigation,Convicted,No
Uttarakhand,2002,Robbery,Bank robbery with hostages,Pithoragarh,Audio recordings,Community Policing Unit,Under Investigation,Convicted,No
Jharkhand,2013,Vandalism,Defacing a monument,Dhanbad,Phone records,K-9 Unit,Open,Not convicted,Yes
Nagaland,2011,Public Corruption,Police officers implicated in drug trafficking ring,Peren,Confession statements,Highway Patrol,Closed,Not convicted,No
Telangana,2023,Domestic Violence,Stalking by an ex-partner,Mahbubnagar,Vehicle registration records,Fraud Investigation Unit,Closed,Convicted,No
Manipur,1978,Drug Possession,Possession of illegal substances during a traffic stop,Yairipok,Property ownership documents,Community Policing Unit,Open,Convicted,Yes
Manipur,2011,Embezzlement,Misappropriation of funds by a financial advisor,Mayang Imphal,Bank statements,Criminal Investigation Division,Under Investigation,Partially convicted,No
Kerala,2007,Fraud,Insurance fraud scheme,Thiruvananthapuram,Forensic analysis reports,Criminal Investigation Division,Open,Convicted,Yes
Kerala,1979,Drug Trafficking,Undercover sting operation targeting drug dealers in a high-crime area,Kollam,Confession statements,Highway Patrol,Open,Partially convicted,Yes
Arunachal Pradesh,1980,Fraud,Credit card fraud,Aalo,Phone records,Community Policing Unit,Closed,Not convicted,Yes
Kerala,2007,Car Theft,"Vehicle theft ring dismantled by police, recovering multiple stolen cars",Malappuram,"Digital evidence (e.g., emails, text messages)",Metropolitan Police Department,Open,Convicted,Yes
Karnataka,1973,Human Trafficking,Victims of human trafficking rescued from underground brothel,Bellary,Medical reports,Cyber Crimes Unit,Closed,Not convicted,No
Manipur,1998,Sexual Assault,Stranger rape in a dark alley,Thoubal,Crime scene photographs,City Police Department,Open,Convicted,Yes
West Bengal,1994,Assault,Domestic dispute turned violent,Kharagpur,Confession statements,SWAT Team,Under Investigation,Not convicted,No
Kerala,1970,Fraud,Credit card fraud,Kozhikode,Bank statements,Forensic Science Division,Under Investigation,Not convicted,No
Bihar,2011,Homicide,Mysterious death investigation,Katihar,Witness statements,Narcotics Division,Under Investigation,Not convicted,Yes
Andhra Pradesh,1981,Vandalism,Defacing a monument,Kadapa,Eyewitness accounts,Community Policing Unit,Open,Partially convicted,Yes
Maharashtra,1976,Domestic Violence,Spousal abuse in a domestic setting,Thane,Video surveillance footage,Special Investigations Unit,Open,Convicted,Yes
Nagaland,1999,Theft,Package theft from porches,Mon,Financial transactions,State Police Department,Closed,Not convicted,Yes
Punjab,2017,Burglary,Shoplifting at a local store,Jalandhar,Expert witness testimony,Community Policing Unit,Closed,Convicted,Yes
Andhra Pradesh,2007,Car Theft,Luxury SUV stolen from a suburban driveway overnight,Kurnool,Property ownership documents,Traffic Enforcement Unit,Closed,Convicted,No
Kerala,2014,Terrorist Attack,"Suicide bombing targets crowded marketplace, resulting in mass casualties",Thrissur,Forensic analysis reports,Fraud Investigation Unit,Open,Convicted,No
Odisha,1993,Public Corruption,Police officers implicated in drug trafficking ring,Rourkela,Expert witness testimony,Highway Patrol,Open,Partially convicted,Yes
Maharashtra,2011,Fraud,Credit card fraud,Aurangabad,"Physical evidence (e.g., fingerprints, DNA)",Highway Patrol,Open,Not convicted,No
Sikkim,2003,Robbery,Mugging in a dark alley,Pakyong,Bank statements,Homicide Unit,Closed,Convicted,Yes
Tamil Nadu,1984,Burglary,Break-in at a suburban home,Thoothukkudi,Character witness testimonies,Forensic Science Division,Under Investigation,Not convicted,No
Telangana,2011,Terrorist Attack,"Terrorist plot foiled by intelligence agencies, preventing major catastrophe",Adilabad,"Digital evidence (e.g., emails, text messages)",Special Operations Division,Closed,Not convicted,Yes
Meghalaya,2007,Terrorist Attack,Chemical attack on government building leads to evacuation and decontamination efforts,Jowai,Photographic evidence,K-9 Unit,Under Investigation,Not convicted,Yes
Uttar Pradesh,1978,Robbery,Armed robbery at a convenience store,Varanasi,"Digital evidence (e.g., emails, text messages)",Forensic Science Division,Open,Convicted,No
Meghalaya,1988,Organized Crime,Mafia family indicted on charges of racketeering and extortion,Mairang,Audio recordings,Victim Services Division,Under Investigation,Partially convicted,Yes
Kerala,2001,Vandalism,Smashing car windows in a parking lot,Kannur,Vehicle registration records,Metropolitan Police Department,Open,Not convicted,No
Telangana,1991,Theft,Grand theft auto of a luxury vehicle,Nizamabad,Character witness testimonies,Fraud Investigation Unit,Under Investigation,Partially convicted,Yes
Himachal Pradesh,1993,Burglary,Office burglary during the night,Bilaspur,Photographic evidence,Narcotics Division,Open,Partially convicted,Yes
Odisha,1989,Theft,Package theft from porches,Sambalpur,Character witness testimonies,Narcotics Division,Under Investigation,Not convicted,Yes
Rajasthan,2008,White-Collar Crime,Counterfeiting money operation,Alwar,Financial transactions,Traffic Enforcement Unit,Under Investigation,Convicted,Yes
Chhattisgarh,2012,Kidnapping,Hostage situation at a bank,Bhilai,Phone records,Traffic Enforcement Unit,Closed,Partially convicted,No
Uttar Pradesh,1972,White-Collar Crime,Counterfeiting money operation,Meerut,Bank statements,Major Crimes Unit,Open,Partially convicted,Yes
Telangana,2015,Domestic Violence,Spousal abuse in a domestic setting,Karimnagar,Bank statements,Metropolitan Police Department,Open,Convicted,Yes
Arunachal Pradesh,2019,Child Abduction,Parental kidnapping during a custody dispute,Bomdila,Confession statements,Bureau of Investigation,Open,Partially convicted,No
Chhattisgarh,2017,Vandalism,Defacing a monument,Ambikapur,Expert witness testimony,Forensic Science Division,Closed,Partially convicted,No
Tripura,1983,Forgery,Counterfeit currency operation,Kailasahar,Eyewitness accounts,Metropolitan Police Department,Under Investigation,Not convicted,Yes
Jharkhand,1975,Sexual Assault,Stranger rape in a dark alley,Medininagar,Phone records,Forensic Science Division,Closed,Convicted,Yes
Odisha,2001,Armed Robbery,Convenience store robbed at gunpoint by two assailants,Balasore,Expert witness testimony,Victim Services Division,Open,Partially convicted,Yes
Rajasthan,1994,Burglary,Shoplifting at a local store,Ajmer,Audio recordings,Victim Services Division,Closed,Not convicted,No
Tripura,1997,Public Intoxication,Underage drinking at a party,Ambassa,Forensic analysis reports,SWAT Team,Open,Not convicted,No
Jharkhand,2007,Domestic Violence,Stalking by an ex-partner,Dhanbad,Financial transactions,Special Operations Division,Closed,Not convicted,Yes
Uttar Pradesh,1977,Terrorism,Bombing at a crowded public event,Lucknow,Financial transactions,City Police Department,Open,Not convicted,Yes
Bihar,1977,Assault,Physical altercation at a bar,Arrah,Video surveillance footage,Bureau of Investigation,Under Investigation,Partially convicted,Yes
Manipur,1983,Cybercrime,Identity theft through phishing emails,Jiribam,Bank statements,Cyber Crimes Unit,Closed,Not convicted,Yes
Kerala,2021,Terrorism,Chemical attack in a subway station,Kollam,Photographic evidence,Forensic Science Division,Under Investigation,Partially convicted,Yes
Rajasthan,2004,Child Abduction,Child abduction by a stranger at a playground,Kota,Medical reports,Criminal Investigation Division,Open,Convicted,Yes
Meghalaya,2018,Money Laundering,International wire transfers facilitate movement of dirty money across borders,Williamnagar,Forensic analysis reports,Major Crimes Unit,Closed,Partially convicted,Yes
Bihar,2007,Car Theft,Carjacking of a taxi cab by a lone assailant,Gaya,Forensic analysis reports,K-9 Unit,Closed,Convicted,No
Sikkim,1976,Forgery,Forgery of legal documents for identity theft,Gyalshing,"Physical evidence (e.g., fingerprints, DNA)",Major Crimes Unit,Under Investigation,Convicted,Yes
Goa,1982,Public Intoxication,Underage drinking at a party,Sanquelim,Confession statements,Major Crimes Unit,Closed,Partially convicted,No
Meghalaya,1983,Human Trafficking,"Sex trafficking ring exposed, rescuing victims from captivity",Jowai,Video surveillance footage,Metropolitan Police Department,Under Investigation,Partially convicted,No
Manipur,2008,Fraudulent Schemes,Telemarketing scam deceives elderly victims into wiring money,Kangpokpi,Character witness testimonies,Cyber Crimes Unit,Under Investigation,Not convicted,Yes
